"","X__1"
"18","Welcome to the 'democratic' UK... I consider myself European not English and feel awful now. Ah! I had a look at flights to London last night and think I found and followed the end of your flight from over Ghent to Heathrow, did you land at 19:20? Hehe! Screw this county, I have to get out. Wow, I really wanna hear all about it!! So glad you got to Sri Lanka in the end after last year! 😊 It's a tiny country right though? What are you up to now for the rest of the summer? You did tell me but can't quite remember! Did you say you were going to fringe? Because I am going too now am well excited! Well there isn't such a thing as a doctor of science hehe, and to be fair work's been great recently, I just am feeling so so driven! Have had the most creative two weeks of my life, have had to come up with a ""story"" and has taken a lot of thinking and reading and creative energy! Been great! And apparently I have become kind of renowned in the department, random professors are trying to recruit me and people I have never met before keep coming up to me and talking about my work (basically am getting a big head and am trying to bring myself back down haha!) Am fairly busy but may come down to London for a day or so! Xxx"
"19","Wow it sounds like it is all really happening for you! That sounds so great Rich I'm really happy for you!!' Knew you would do well at your PhD you old genius you! Yes I am going to the fringe! When are you going? I'm going from the 22nd - 25th August - what are your plans? Yes that's the exact flight I was on!!!! That's so cool you could trace my flight!! Are you flying anywhere good this summer? What are your summer plans? Yes please come to London and let me know when you come! Me you and Charlie all still need to visit a random city in the UK at some point this summer! Xxx"
"20","Thanks for bringing the weather back with you by the way (unless it was rainy..). I'm going on the 11th - 14th of August! Is silly but I don't have any plans, am going with Rich G's parents (as Rich lives there now) and they reckon we will be able to do something, but if not will just be an expensive trip to Edinburgh haha! What are your plans? Not flying anywhere at the moment, am gunna do my Isle of Wight walk but still not booked it, literally only just be allowed the time off today! Don't think the city thing will happen as I got a message from Charlie today in the vain of I have absolutely no time free! And I am fairly similar but we'll see. Ergh, saw Rachel and her new guy earlier, they didn't see me but I feel pretty grrrr now haha! Xxx"
"21","So busy! When did we become adults with responsibilities!?! Haha. Oh dear is this the guy you showed me pictures of? How's your love life? as complicated as ever!? Xxx"
"22","Not real adults yet! Mid 20s is like the teenage years of adulthood!! Yeah it's the same guy, she massively downgraded. 😜 Love life is non-existent now, just the way I want it to be. Xxx"
"23","At lunch today I had the petit filous convo with 6 scientists, none of them realised that it was cheese they all thought it was the same as yoghurt! Don't feel quite as stupid for liking cheese now haha!! Xxx"
"24","Hahaha it must be a scientist thing looool though you would have thought chemists would be clued up about these things!"
"25","Ha you like cheeeeeese"
"26","Cheese gromit?"
"27","Petit filous gromit?"
"28","Did you know the moon is made of petit filous"
"29","Wensleydale Gromit! Shhhhh don't tell that I like cheese, I am living a lie!"
"30","I am in love with Edinburgh. I need to move here."
"31","Ahhhh are you there at the moment? Edinburgh is so good! Let's plan to move there when you finish your PhD and I finish my OT training!!! How is the fringe!?! Xx"
"32","Yeahhh am here! Yesss let's we should totally move here, it's just so nice and pretty and cultured!! Fringe is so good but go home tomorrow which is sad 😞 Saw a cool dystopian comedy play earlier, was awesomeee!! Xxx"
"33","You'll have to recommend things for me! Can't wait to go to the fringe!! How is life going? Xxx"
"34","Am not sure I know enough to recommend anything, but just saw the most 'amazing' show... We were the only ones in the audience but I did genuinely find it entertaining, it was called ""The Michael Gove Appreciation Society"" but it got cancelled and there was this old thespian who was just amazing but it was quite bad! Xxx"
"35","ich spreche nur für Sie in Deutsch ab sofort."
"36","Wow that's beautiful! Glad to see your practising your German although I'll have to google translate that! I'll learn some German when I get a chance so we can sail round Berlin like a breeze! How is the Isle of Wight? Looks like the weather is good for you :):) X"
"37","Am really not learning it haha, that's a Google Translate sentence, probably plagued with grammar errors! Is lovely thanks, think we've done the hardest bit now!! Xxx"
"38","Wow beautiful! I'm jealous! X"
"39","Done. That was a good 70km!! Am going to start looking up possible places in Berlin probably tomorrow! 😊 You have Facebook... Would you look up for me what Charlie's relationship status is please?? Xxx"
"40","Haha Charlie's status is single so if you wana ask him out I think you have a chance 😜 haaaa. Wow so much walking! Bet you're tired. Yay Berlin! Check out air bnb as they are good and in Berlin there might be cool trendy hostels too that would be cheap! 😀 xxx"
"41","Oh me and Charlie are way past courting, was just wondering if he made us Facebook official yet.. :-P Yep will do!! Xxx"
"42","Hehe awwww memories! Still got my medal somewhere!"
"43","Need to get back into jazz guitar!"
"44","✈🏡🏘holiday sorted! Yaaaay! 😊😎👍"
"45","YAYYY!! 😎✌🛫🛬⛄😊🎅 Am getting excited now! Xxx"
"46","I don't! Should I?"
"47","Been asking my sister for advice on Berlin! Here's a list of suggestions (will try adding them to the document later but it's not letting me atm! Film museum,"
"48","t at television tower,"
"49","ife under communism),"
"50","eum , Cookies and Creams veggie restaurant,"
"51","art,"
"52","n,"
"53","se"
"54","Woooo!!! Can't wait for this! Xxxx"
"55","Bloody hell!! Niceee suggestions!! Oh you totally should know this, Yorks number one poetry/spoken word night?!? Xxxx"
"56","It's sooooo bloody good!! Xxx"
"57","Awww yeh forgot you were in York this weekend! How is it!?! Xxx"
"58","York is just so pretty!! We need to busk here. Xxx"
"59","Yes when we are world famous band we will be busking til dawn! Xx"
"60","http://www.spottedbylocals.com/berlin/"
"61","My cousin just shared this with me! There's a ""museum of things"" near where we're staying - there's just way too much to do! Xxx"
"62","Awesome!!!! Can't wait for Berlin!!!"
"63","https://youtu.be/AHLVM4MJgmo 😉"
"64","Ahahahaga okay it's a real song then I guess...."
"65","I feel this is parallel to the electric guitar situation!"
"66","om/watch?v=2KNGhf6aMs4"
"67","Awww, hope you didn't cry this morning haha! But the kid gets a banjo at the end of the song... Maybe you'll get one?!?"
"68","Will see if I can actually do some stargazing tonight, unlike our failed attempt yesterday! Sorry that all our activities failed really haha!!"
"69","Will try and get a picture of the stars for you! 😊"
"70","Am pretty good at this stargazing malarkey 😜"
"71","Turn your phone brightness up if you can't see them, it's cool!! Excited!"
"72","I feel this somewhat makes up for stargazing last night, shame I am crap at ice skating and that we ate too early... 😜"
"73","I told you beetlejuice was a really star! Great pictures! Think it was a clearer night last night :)"
"74","I was pretty pleased, hence the number of pictures! And Beetlejuice is what I said it was - Betelgeuse!"
"75","Ahhhh ok maybe I was incorrect. Will have to look up the pronunciation of this elusive star! X"
"76","I need to look up WOMAD better.."
"77","Will book train tickets soon but might walk from the station if it's doabley"
"78","Doable sorry"
"79","Did you know that there is TREE CLIMBING at WOMAD?! I expect you to be well up for that."
"80","Hahaha the best bit about this video is the commentary! Looool! And yes yes yes the punk band has to happen!"
"81","New catchphrase: 'I don't have any core strength'. I am gunna start writing songs!"
"82","https://www.nationaltheatre.org.uk/shows/river-stage-womad-2017"
"83","More workshops for you!"
"84","And freeeee"
"85","Noooooo this is the weekend I'm in Bristol! Boooo"
"86","One tribe!"
"87","One Tribe!"
"88","Aw cool! Are you there with your family? Hope you are having a good time! What bands are playing? Xx"
"89","Nope, wanted to go on my own, should've invited you really but it was a last minute decision! Jose Gonzalez is headlining, Josienne Clark and Ben Parker were pretty good as were Laucan. What you up to? Xxx"
"90","Laura Marling is on tomorrow night, but haven't bought tickets for tomorrow - did I tell you about the time I stalked her and she refused to let me into her gig...? Xxx"
"91","Haha are you serious? Did you really stalk Laura marling or is this one of those stories similar to you being a model!?!"
"92","No this isn't an artful lie, it's the truth! Was years ago, I went to her trailer and we had a chat over a cigarette, and I was like I can't get into the gig as I don't have a ticket and she basically said tough shit haha. Basically I failed at hitting on her!!"
"93","This was when she was going out with Marcus Mumford though"
"94","Maybe I should come tomorrow and give it another shot? I'd have more luck this time!"
"95","Haha yes always worth another shot!"
"96","Haha yesssss! What kind of music is it?"
"97","Earth liberation sounds!"
"98","Jazz, your favourite 😋 IT'S HOT LIKE JAMAICA"
"99","I actually really love that song - definitely one of the best ones! I'm really enjoying it! How are you doing? Xx"
"100","I am cool like Kingston town! You?"
"101","Aka tired"
"102","When we going skiing by the way? Have decided I want to go."
"103","Yes yes yes for skiing! How about Christmas holidays like we did Berlin? Xx"
"104","We are the best holiday go-ers! Xxx"
"105","Yeah we are! 😊 Although that seems like it would make sense, I actually think that the skiing season (in the alps anyway) is from my birthday onwards, I'll check it out! Christmas would be better for you I guess xxx"
"106","Rich! Sorry I missed your call last night. How are you doing? Let's catch up soon please! Xxx"
"107","Wow scary! How was the party? X"
"108","Fun thanks!"
"109","Is going on a holiday somewhere 27th-30th December any good for you or you busy then?"
"110","Hmm maybe. I am really struggling to get motivated to organise anything at the moment but I won't be home much over Christmas, and those days would be my few with my family, so not sure at the moment. I would like to though! We would have to come back earlier on the 30th though as am busy later on."
"111","Do you think if I ask really nicely they'll let me be a DJ on BBC Asian Network?"
"112","Spent 3 hours with Benjamin Zephaniah today ! So happy! Hope all is good with you! Xxx"
"113","Omg I was gunna text you on the train today, and now I'm on the train so you get a text. 😋 How ARE youuu? Awesome stuff with Benji! Why were you with him? I'm great thanks, am in Brighton all week at a conference and I JUST GOT A FREE FIDGET SPINNER!!! I am really sad that we can't go on holiday this Christmas I'm really missing it 😞 Next year we are doing it. Xxx"
"114","I hope he enjoys your fan girling hahaha!"
"115","Oi! What's your address? I have Xmas card to send you! Xx"
"116","Ruin the suspense of getting something through the mail why don't you? 😝 If you are sending it soon then: 28 Bernard Road, Edgbaston, Birmingham, B17 8LP."
"117","Now I was 90% sure I had your address but turns out I don't! What is it? Xxx"
"118","69 Mackenzie road br3 4ry :) xx"
"119","Yep I thought it was 69.. Thanks!"
"120","Ps you around before Xmas at all for some fun Xmas activity? Maybe 23rd? It's a long shot that you're free but would be grrrreat to do something fun! Xx"
"121","I am actually in London on the 23rd.. Will reply properly in a bit"
"122","Cool! Evening time is good ! X"
"123","That'll be an issue"
"124","Yeah are you free a bit earlier in the day at all?! I am busy early evening from about 4pm... Xx"
"125","Ah, this could be tricky. You free Friday night?"
"126","Nope 😞 Are you free on the 30th at all?!"
"127","To be honest I could be free whilst going home via London on Friday if you were able to come to Croydon or something but it wouldn't be for very long at all, and I wouldn't have a solid time for you!"
"128","That sounds like a bit of a rush. Probably best to leave it. Can I get back to you about the 30th - might be Hertfordshire! Xx"
"129","That is insane!"
"130","Lovin' Iros!"
"131","WELL DONE!! 😃 And nice dancing, the older guy you did the dance with looked like he enjoyed it! My cousin said you are an expressive actor! How was it for you tonight? Your family came tonight right? I am just impressed I understood it all, never seen an opera before! Xxx"
"132","Sorry couldn't hang around after btw, we've got family around tomorrow morning and wanna get back! Xxx"
"133","Thank you so much for coming Rich! Hope you enjoyed it!? Where were you sitting? Was a good night...a few mistakes here and there but hopefully not too noticeable! Haha. No worries hope you have a nice time with your family and have a great weekend 😊 xxx"
"134","Yes really did enjoy it!! I am really jealous, I'd love to do something like that! Haha no I didn't notice any mistakes but I wouldn't know what I'm looking for! I'm sure they weren't bad! Hard to explain where I was sitting as the stage is bloody round. You were directly in front of me where you start dancing near the beginning of the second act, but was right at the back at the top! I wanna see you properly, we need to get a date in the diary for February before it gets booked up, can you come up to Birmingham on the second weekend of Feb? Xxx"
"135","Morning! How you doing? Did the end of the run go well? Must feel strange to have it all done now. Know you haven't got back about Birmingham yet but we'll have to do that another time. I have decided to follow advice (you helped with this too when we spoke a while ago, so thanks!) and I'm taking a leave of absence from my PhD to focus on breaking cycles and getting better! I was kinda hanging on for that 'one last experiment' but luckily my supervisors talked me out of it and I'm already on leave as it all got signed off super quick! Anyway thought you'd like to know, I think it's a positive decision and feel surprisingly alright about it! 😊 Xxx"
"136","Voice messages are really easy (and fun), will reply in a bit!"
"137","Damian Marley is playing at Brixton on 1st July! Shall we go?"
"138","A hundred times yes!! It's my Mum's birthday though, but I'll get around it! DAMIAN!"
"139","I'll send you the link after my lunch! Wooooo! Dream come true!"
"140","Have you finished lunch yet? 😜 Question, do you want to go in to get a dog with me?"
"141","Ha I sent you a link to Damian over facebook!"
"142","How? I don't have Facebook?!"
"143","Ummmm you're still on messenger?!"
"144","Ergh something has gone wrong then."
"145","Sorry I missed your call rich. Bit busy on placement this week. Is everything ok?"
"146","Boom, booked!"
"147","£40 please!"
"148","Acc 08795919 sort 09-01-27"
"149","Thanks rich! Just transferred you the money! Yaaaaaay Damian Marley!"
"150","Ta! I'll let you know about dates when I can! WELCOME TO JAMROCK!"
"151","We should invite Joel Calder, he loves that song"
"152","Oh my gosh!! We actually should invite him! Maybe I'll drop him a message of Facebook!"
"153","Do it"
"154","Have't seen him for agessss"
"155","Happy International Women's Day! Though I don't agree that it should just be one day, it definitely shouldn't be needed in this day and age but whatever. Anyway, dates! I am free on Friday the 23rd but I will need somewhere to stay. Might be better to do the week after that, I am free any night on the week commencing the 26th except Wednesday, what suits you?"
"156","Could do the 26th?"
"157","Okay!"
"158","Happy Birthday Rich! Hope you have an amazing and wonderful day 😊🎈🎉"
"159","Thank you!! 😊 Xx"
"160","Are you at roundhouse?!?"
"161","Yeh think I said to you"
"162","This support act sucks"
"163","Yes I remember you saying! Who is supporting? Who are you seeing again?"
"164","I'm at roundhouse tomorrow!"
"165","Tomorrow just isn't good enough.. Seeing tUnE-yArDs. This support act is a shit Brazilian version of Tame Impala!"
"166","Mystic Braves are a good version of Tame Impala. Are you up for WOMAD again do you think? Most the festivals are shit this year and I wanna see Django Django!"
"167","We need to sort something!"
"168","What you doing tomorrow?"
"169","Young fathers?"
"170","Are you supporting them or..."
"171","So jealous you get to perform here"
"172","Just choir rehearsals tomorrow. Not sure I'm gonna be doing womad this year"
"173","Have a good night!"
"174","Oh damn we wanted free tickets 😋"
"175","Question two"
"176","Bloc Party in Berlin? C"
"177","Did you get the transcendental message I telepathically sent you last night? Because I really need to know that you are going to do what I asked? You are going to do it, right?"
"178","Haha I'm meditating on it - I only caught the first half of it though...these subliminal messages can sometimes have network issues"
"179","Ok I've resent, it was definitely clearer tonight. It's a pretty easy message to understand, not very long! You shouldn't have an issue with it, so I trust you'll ring them up tomorrow..."
"180","I dreamt last night that there was this decrepit old squirrel that we came across and it was basically dying. For some reason you were desperate to save it's life and we rung loads of animal charities to try and save it's life (which I thought was pointless), none of them helped at all... It died and you were upset 😝 Though I'm confused because I'm sure in real life you don't like squirrels? Haha!"
"181","Haha that is hilarious! You are right, in real life I don't like squirrels! But you know I'm ever trying to become more compassionate to animal beings. I'm sad that your dream squirrel died though. I had a dream that I was on the train to farringdon but it was a loop line and went via Edinburgh. Your dream sounds much more fun!"
"182","Poor dream squirrel. Oh I dunno that dream sounds pretty fun, a darn sight better than a dream with you and a dying squirrel in it.. Hehe 😜"
"183","It was grim. It took so long to get to Farringdon but I had a huge chocolate cake that I was munching through en route!"
"184","Lollll am drinking with some random people in some place called Hinckley (?!) and just talking to someone and she went to Langley girls then boys for sixth form! So strange when that kinda thing happens!!"
"185","And now it's world war 3, WOOOO"
"186","Yo! I am getting into Euston at 12:33 tomorrow, I can swing by the Wellcome Library just after then and we can grab lunch on Charing Cross road. That good with you?"
"187","Rich! I thought this was tomorrow?!? I have an exam at uni today!!!"
"188","I said tomorrow"
"189","😋"
"190","Reading it 😋"
"191","Read sorry"
"192","Oh yes! Haha sorry sounds perfect :)"
"193","Hahaha"
"194","Good luck with the presentation!"
"195","Thanks Rich!"
"196","Argh Rich I've just had a call from the doctors and I have to go for blood tests tomorrow so won't be able to make lunch. It might take a while you see. Is there any chance you can do Wednesday lunchtime? I'm sooooo sorry about this. So annoyed."
"197","Ah that's ashame! Nope Wednesday is no good for me 😞 Your health is more important remember, we'll have to rearrange. How did the presentation go?"
"198","Argh it's so annoying as I was really looking forward to seeing you! The presentation went well! So relieved it's over and now just a few more projects and then I'm done. I'm going to a pottery class tonight lol! Hope it's relaxing! When are you next free? How did moving back to Birmingham go?"
"199","Yes I was looking forward to it too! Glad it went well 😊 How was pottery? Pottery is pretty relaxed! I did something similar last night, putting together an ikea flat-pack! Haha no I've not moved back to Birmingham, but moved rooms, my room is so much bigger now. Not moving back for a while! I'm always free (apart from when I'm not).. I'm heading back to Birmingham next week, could coincide with that?"
"200","Oh yeah and have you done what I told you to do telepathically yet?!?"
"201","Ooh actually I might come up to cheer on the marathon on Sunday if the weather's nice too! Dunno yet thin"
"202","Thin meant to be though haha"
"203","Aw nooo I'm busy Sunday! Glad you moved rooms! Aw no my telepathic connections are a bit faulty at the moment xx"
"204","Fair dos you are always so busy at the weekends, I can never get a look in! You not free on Thursday lunchtime? How many times do I have to telepathically text you?! 🤣"
"205","Yes let's do Thursday! I can do Thursday evening too! Will you be in Beckenham area or in London? I'm not gonna be in London on Thursday but will be in Beckenham! Xxx"
"206","I just realised I may not have been particularly clear... I meant next Thursday, is that still okay? Or is that what you thought I meant haha?"
"207","I thought you meant this Thursday. I can do next Thursday in the evening?"
"208","Sorrry! Argh I can't do next Thursday evening!"
"209","I just don't know what keeps gone wrong! The telepathy just isn't working, nothing is getting through so here's the message: make yourself a GP appointment and go on meds. Then take them and stick on them, don't give them up. This is non-negotiable."
"210","Change of my plans! I'm heading back to Birmingham on Tuesday now, are you free for lunch or early dinner?"
"211","Also I would like you to reflect on yesterdays WhatsApp from me, it's certainly no magic instacure but it will help in the long run. I'm not going to keep going on about it unless you want to talk about it but I do think you should do it, you've really nothing to lose. Am saying it because I care. If it feels like an unthinkable thing to do to you then it's probably not a bad thing. Anyway, enough from me!"
"212","Thanks Rich, I really appreciate that. I'm at uni tomorrow...oh dear we aren't doing very well at this."
"213","How about Friday?"
"214","Or Sunday?"
"215","I can do Friday night?"
"216","Hi rich, thanks for your message. It's probably best to meet in Beckenham on Friday as not sure what time I'm gonna get in to central London. Why don't you come over at 7.15ish for dinner?"
"217","Okies! 😊"
"218","Hi rich! What foods do you eat/not eat? Trying to work out what to cook for us tomorrow! And remember you have a list of foods you don't like!"
"219","Cheese is the big one! But am eating way way more different varieties of food nowadays - if you have a dish in mind I can give you a thumbs up or down."
"220","Vegan bean chilli?"
"221","Yeah sounds great!"
"222","Thank you! 😃"
"223","Just learned that my brother partied with Jarvis Cocker and one of the Sex Pistols once in the 90s haha! Fun fact for you!"
"224","Aw awesome!"
"225","What time do we need to be at Charlie's tomorrow?"
"226","Haha good joke"
"227","No idea"
"228","Be there when we're there"
"229","Ha cool. Cos I was meant to cook our dinner tonight but I didn't manage too so will have to cook when I get back from uni tomorrow but it shouldn't take too long and I can pick up the ingredients on the way back home!"
"230","That's fine! No worries! 😊"
"231","Do you want some monies for them btw?"
"232","No no don't worry about money!"
"233","I'll be around in a few minutes!"
"234","Hello! Thanks for coming last night! 😊 Sorry they were that drunk that early and we started the film so late/only semi watched it, hope you had some fun! You're always welcome to these things (if we haven't put you off coming completely haha) and was nice to see you 😊 And thanks for dinner - I ended up eating one of those dreamy cat treats... It wasn't just me eating them and they actually weren't that bad but unbelievably salty!"
"235","Ellie!"
"236","Very very short notice as I've just seen it but do you wanna go to see Matthew Bourne's Cinderella in Wimbledon on Tuesday?"
"237","Aw i would really want to but I'm dog sitting on Tuesday so no can do :("
"238","Cockapoo cockapoo! Sure no problem, have fun!"
"239","Jesus, just tried three pairs of my jeans on and none of them fit, when did that happen?! Was very sudden!"
"240","Interesting Benji Zeph interview for 5 live earlier!"
"241","About controlling women, you hear it?"
"242","Yeh he's on radio 4 every morning this week too reading his autobiography!"
"243","It is their book of the week so makes sense!"
"244","https://youtu.be/VYOjWnS4cMY"
"245","Ah I am enjoying childish gambino! Sorry I missed you earlier. How is being back in Birmingham?"
"246","Not back in Brum yet! You aren't free Friday night by any chance?"
"247","If you are, there's a 90% chance that I have a free ticket to Aladdin on the west end for you..."
"248","Aw no that sounds awesome but I've got my end of uni party on Friday!"
"249","No problem, have fun! The 10% pulled through in the end and I do have a date so afraid you couldn't come anyway. Congrats on finishing your second degree 😊 I am very proud of you!! Miss Ellie Roberts BA BSc haha!"
"250","Good for you. Have fun."
"251","OMG have you seen the line up for latitude festival?!? It's AMAZING"
"252","The killers, wolf Alice, the breeders, rag n bone man 😊"
"253","Also I did enjoy the childish gambino song This is America. I realised I never replied! Let's go see childish gambino!"
"254","I planned to look at festivals next week you know, you're ahead of the game 😜"
"255","Looks alright, I could see my least favourite band the vaccines for the 6th time haha but Tune-Yards are playing!"
"256","I would kill to see childish gambino but he's only got one date in the UK at lovebox and it's the Saturday when the rest of the line-up sucks, the Friday line-up is great at lovebox though"
"257","My plan was literally to go and stand outside so I could hear him hahaha"
"258","Question of the day, whatever happened to Mumford and Sons? Feel like they just disappeared?"
"259","Eurgh I'm SOOO over Mumford and sons. Boring! They were like everywhere in 2010. Get with the times dude!"
"260","Ooo whose at lovebox on Friday?"
"261","Childish Gambino ❤"
"262","Shuup cool kid, I know they are but I was just thinking about them!"
"263","On Friday there's my other favourite Wu-Tang Clan 😍 (saw them at Glastonbury once and it was insaneeee), SZA, Anderson Paak (also fantastic), Vince Staples and Skepta"
"264","Then again N.E.R.D and Bonobo are on Saturday, still not nearly as good though"
"265","And Big Boi too"
"266","BAHAHAHA YOU LOOOOOOOSE! The stage name Childish Gambino was generated when Donald Glover put his name into the wu tang Clan rap name generator..."
"267","What happens if we enter Ellie Roberts..."
"268","Ahahahaha yes! I sound good."
"269","What's rich Buchanan?"
"270","Surprisingly accurate for me (I love Star Wars the Phantom Menace) and have two other nicknames related to that film"
"271","Very bizarre"
"272","Phantom menance sounds awesome!"
"273","Come Brixton!"
"274","Now"
"275","?"
"276","Please"
"277","Ok"
"278","Pleasseeeee"
"279","I wanna see you, thereby come Brixton"
"280","I said the polite please, that means you HAVE to come... 😝"
"281","I'm in Oxford!"
"282","ELLIE"
"283","What are you doing in Brixton?"
"284","Stop being in Oxford"
"285","And see me"
"286","Also are you drunk?"
"287","Hmmmmmmmmmmmm"
"288","Or drunk on life?"
"289","Or drunk on cider life"
"290","Or beer life"
"291","Drunk on life"
"292","The best state of intoxification"
"293","I went swimming in a river today!"
"294","It was swell!"
"295","Omg jealous!"
"296","I wanna go swimming! Looks so fun, is that the Thames?"
"297","I want kayaking in the sea last week!"
"298","Haaaa nooo! It's a river in Oxford. Me and Hugo had an impromptu swim!"
"299","Wow that sounds awesome!"
"300","I ❤kayaking!"
"301","That's sounds funnn"
"302","Come kayaking! Come to Sussex please"
"303","It was pretty good!"
"304","Yes please! I've always wanted to go to Worthing!"
"305","Come literally whenever, my parents are away from next week if you wanted to come down?"
"306","But seriously come whenever"
"307","How about bank holiday weekend?"
"308","Like 27th or 28th?"
"309","Next weekend?"
"310","Dunno when that is haha"
"311","Yes that would be great that weekend"
"312","Please come!"
"313","(please)"
"314","I'm not desperate but please come, wanna see you!!"
"315","Yay! That would be a lovely way to spend bank holiday :)"
"316","Sweet, come on Friday if you can, there's loads we can do! 😊"
"317","Jamaica"
"318","Drunk and sober Richard are excited! 😊😊😊 No one ever comes to Sussex, it means a lot that you are!"
"319","I am fuckedddddddddd"
"320","Aw that's really exciting. I can't come on Friday or Saturday but can come on Sunday and Monday x"
"321","Oh wow, last night I was a mess. That's what being fueled on alcohol, weed and Asian girls gets you. 😕"
"322","Damn not even Saturday evening? Am greedy for Ellie time!"
"323","You remember Jack Holland from sixth-form? Am on the way to Wembley to support him as he's captain of Bromley FC! And they are in the non league final at Wembley today! Big game"
"324","I don't remember Jack Holland. Ah cool, have fun x"
"325","He used to push me over playing football he was too strong haha"
"326","It went down to penalties and Jack missed the last one and lost Bromley the final haha"
"327","Hope you enjoyed Oxford today!"
"328","Do I need to book a train ticket to Worthing?"
"329","Nope, the prices are all the same doesn't matter when you buy a ticket"
"330","You are getting a ticket to Angmering which is another couple of stops on from Worthing"
"331","The train is from East Croydon and is direct with (get this) no engineering works (crazy)"
"332","I'm coming back with you on Monday as am heading back to Brum"
"333","Okies! Try to get to Angmering fairly early as we've got places to be on Sunday 😊"
"334","Cool! What's ze plan?"
"335","Also what's the weather forecast?"
"336","Also do you have your guitar with you at Worthing? We should do some singing in the evening!"
"337","You will experience ze plan when it's Sunday! I know the weather looks a bit off but will work around it, although it is a shame because it's just the most lovely place in the sun!"
"338","And yes I've got two guitars at my parents 🎶"
"339","Aw I've always wanted to try these too!"
"340","Imagine the colours when you are skating along! Mystical"
"341","I am thinking of cooking a sweet potato, chickpea and spinach curry on Sunday, is that ok? Have never tried it btw and don't have a recipe yet so could be a disaster..."
"342","Also you drink soya milk right?"
"343","I do indeed. And the curry sounds lovely."
"344","😄"
"345","Oh btw the train to my parents divides at like Haywards Heath usually, make sure you get in the bit going towards Littlehampton"
"346","Top tip for you.."
"347","Oooh if you want on Monday we could go to All Points East in the Neighbourhood?"
"348","Monday is their gender equality day"
"349","So planning on getting the 9.33 from east Croydon which gets in at 10.46 to Angmering. Is that okay?"
"350","I have to be back for a big family dinner on Monday. So will need to leave on Monday by 4pm. X"
"351","Both sound great! 😊"
"352","Perfect. Btw do you have any good music recommendations? I'm in the need of a new band to listen to!"
"353","Protoje? Have you heard him?"
"354","Haven't heard of him! I'll give him a listen! I'm listening to the Stony Hill album by Damian Marley to prepare for July! Yeh man!"
"355","👍"
"356","He is similar cool summery reggae"
"357","You'll like it"
"358","Yaaay!"
"359","Listen to his Ancient Future album"
"360","Hey rich, do I need to bring anything in particular for the weekend?"
"361","Just yourself!"
"362","Do I need to bring a towel or do you have a spare one?"
"363","Also should I wear/pack suitable clothes for outdoorsy activities?"
"364","What's the weather forecast?"
"365","Got towels. Yeah I would wear some outdoorsy stuff, waterproof ones haha!"
"366","Haha. Brill. Yes just looked at the weather forecast...eeeek!"
"367","Well it's glorious atm...."
"368","Welcome to southern rail"
"369","It's cancelled, go to Brighton then change"
"370","Thanks for a lovely weekend Rich! Hope you get back to Birmingham ok'! I'm listening to the floods on the news - It sounds intense! Sounds like the worse of it is over though! Remember not to take the world on your shoulders and be so harsh on yourself. Your doing the right thing so just don't fret! Enjoy your book 😊"
"371","Argh just got in, 5 and a half hours door to door. 😞 Have finally got my wet stuff off. Thank you for coming, was lovely to see you! Haha thanks, sorry about earlier it was kinda hitting me how difficult it all is, but thank you for highlighting it, I need to feel that pain, you are very kind. 😊 Enjoy that Nike slogan"
